pos,id,name,price,rat,likes,brand_name,web
1,865,YongJun 3x3x3 cube - GuanLong Plus v3 Finhop,1.03,96,63,YongJun Toys,https://www.ziicube.com/YJ-333-GuanLong-Plus-V3
2,1068,Moyu 3x3x3 cube - MeiLong 3C,0.96,98,182,MoYu Cube,https://www.ziicube.com/Moyu-333-MeiLong3C
3,1250,QiYi mini 3cm small 3x3x3 cube,0.29,92,16,QiYi MoFangGe,https://www.ziicube.com/QY-Mini-3cm
4,441,ShengShou 3x3x3 cube - Legend,0.96,98,35,ShengShou Cube,https://www.ziicube.com/SS-333-Legend
5,1156,Moyu 3x3x3 magnetic cube - RS3M 2020,4.10,98,192,MoYu Cube,https://www.ziicube.com/Moyu-RS3M-2020
6,919,GAN 3x3x3 cube - GAN356 RS,10.64,98,85,Gan Puzzle,https://www.ziicube.com/GAN356-RS
7,572,QiYi 3x3x3 PP box cube box,0.32,94,98,QiYi MoFangGe,https://www.ziicube.com/PP-box
8,1012,QiYi 3x3x3 cube - Sail W,1.03,96,62,QiYi MoFangGe,https://www.ziicube.com/QiYi-333-Sail-W
9,122,zPuzzle cube plastic stands,0.06,100,209,Other Puzzle,https://www.ziicube.com/Cube-Plastic-Stands
10,902,QiYi cube guide - Secret tutorial for magic cubes,0.77,98,72,QiYi MoFangGe,https://www.ziicube.com/QiYi-cube-tutorial
11,1149,Moyu MeiLong Magnetic cube 2M 3M 4M 5M,2.56,98,190,MoYu Cube,https://www.ziicube.com/MeiLong-2345-M
12,606,QiYi cube Pyraminx - QiMing-A,2.31,100,70,QiYi MoFangGe,https://www.ziicube.com/QiYi-Pyraminx-QiMing-A
13,703,Moyu meilong-mini 3x3x3 cube - 30mm,1.28,98,69,MoYu Cube,https://www.ziicube.com/Moyu-333-Mimi-30mm
14,1305,Moyu 3x3x3 magnetic cube - RS3M MagLev,7.05,90,2,MoYu Cube,https://www.ziicube.com/Moyu-RS3M-MagLev
15,1052,YongJun 3x3x3 magnetic cube - YuLong v2 M,4.10,98,73,YongJun Toys,https://www.ziicube.com/YJ-333-YuLong-v2-M
16,545,QiYi 3x3x3 cube - Warrior W,1.15,98,132,QiYi MoFangGe,https://www.ziicube.com/QiYi-333-Warrior-W
17,1274,GAN Monster Go 3x3x3 V2 Magnetic cube,6.02,100,8,Gan Puzzle,https://www.ziicube.com/GAN-MonsterGo-333-V2
18,604,QiYi 3x3x3 cube - Mirror v1,1.67,98,135,QiYi MoFangGe,https://www.ziicube.com/QiYi-333-Mirror-v1
19,609,QiYi Megaminx cube - QiHeng,2.95,98,45,QiYi MoFangGe,https://www.ziicube.com/QiYi-Megaminx-QiHeng
20,1027,Moyu 2x2x2 Cube - MeiLong ,1.03,98,120,MoYu Cube,https://www.ziicube.com/Moyu-222-MeiLong 
